Statistic,Quarter,Garda Region,Type of Offence,UNIT,VALUE
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,"Attempts/threats to murder, assaults, harassments and related offences",Number,1148
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,Murder-attempt,Number,0
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,Threat to kill or cause serious harm,Number,10
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,Harassment and related offences,Number,169
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,"Assault causing harm, poisoning",Number,218
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,Other assault,Number,751
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,Dangerous or negligent acts,Number,748
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,Dangerous driving causing serious bodily harm,Number,0
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,Driving/in charge of a vehicle while over legal alcohol limit,Number,665
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,Driving/in charge of a vehicle under the influence of drugs,Number,30
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,Endangerment with potential for serious harm/death,Number,2
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,"Abandoning a child, child neglect and cruelty",Number,34
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,Unseaworthy/dangerous use of boat or ship,Number,0
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,False alarm/interference with aircraft or air transport facilities,Number,0
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,Endangering traffic offences,Number,17
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,Kidnapping and related offences,Number,4
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,False imprisonment,Number,4
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,Abduction of person under 16 years of age,Number,0
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,Human trafficking offences,Number,0
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,"Robbery, extortion and hijacking offences",Number,122
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,Robbery of an establishment or institution,Number,60
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,Robbery of cash or goods in transit,Number,2
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,Robbery from the person,Number,56
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,Blackmail or extortion,Number,1
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,3
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,Burglary and related offences,Number,1812
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,Aggravated burglary,Number,24
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,Burglary (not aggravated),Number,1777
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,"Possession of an article (with intent to burgle, steal, demand)",Number,11
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,Theft and related offences,Number,3916
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,Theft/taking of vehicle and related offences,Number,611
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,Theft from person,Number,88
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,Theft from shop,Number,1037
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,"Other thefts, handling stolen property",Number,2180
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,"Fraud, deception and related offences",Number,254
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,Controlled drug offences,Number,921
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,Importation of drugs,Number,1
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,Cultivation or manufacture of drugs,Number,17
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,Possession of drugs for sale or supply,Number,155
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,Possession of drugs for personal use,Number,711
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,Other drug offences,Number,37
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,Weapons and Explosives Offences,Number,252
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,"Explosives, chemical weapons offences",Number,1
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,Discharging a firearm,Number,5
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,Possession of a firearm,Number,22
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,Offensive weapons offences (n.e.c.),Number,117
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,Fireworks offences,Number,107
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,Damage to property and to the environment,Number,2289
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,Arson,Number,158
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,Criminal damage (not arson),Number,2115
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,Litter offences,Number,16
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,Public order and other social code offences,Number,2856
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,Disorderly conduct,Number,2462
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,Trespass offences,Number,160
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,Liquor licensing offences,Number,206
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,Prostitution offences,Number,3
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,"Regulated betting/money, collection/trading offences",Number,16
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,Social code offences (n.e.c.),Number,9
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,"Offences against government, justice procedures and organisation of crime",Number,424
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,Offences against government and its agents,Number,20
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,Organisation of crime and conspiracy to commit crime,Number,0
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,Perverting the course of justice,Number,10
Recorded Crime Offences Under Reservation,2009Q4,30 Eastern Region,"Offences while in custody, breach of court orders",Number,394
Recorded Crime Offences Under Reservation,2009Q4,40 Southern Region,Homicide offences,Number,8
Recorded Crime Offences Under Reservation,2009Q4,40 Southern Region,Murder,Number,4
Recorded Crime Offences Under Reservation,2009Q4,40 Southern Region,Manslaughter,Number,1
Recorded Crime Offences Under Reservation,2009Q4,40 Southern Region,Infanticide,Number,0
Recorded Crime Offences Under Reservation,2009Q4,40 Southern Region,Dangerous driving leading to death,Number,3
Recorded Crime Offences Under Reservation,2009Q4,40 Southern Region,Sexual offences,Number,75
Recorded Crime Offences Under Reservation,2009Q4,40 Southern Region,Rape and sexual assault,Number,72
Recorded Crime Offences Under Reservation,2009Q4,40 Southern Region,Other sexual offences,Number,3
Recorded Crime Offences Under Reservation,2009Q4,40 Southern Region,"Attempts/threats to murder, assaults, harassments and related offences",Number,1024
Recorded Crime Offences Under Reservation,2009Q4,40 Southern Region,Murder-attempt,Number,0
Recorded Crime Offences Under Reservation,2009Q4,40 Southern Region,Threat to kill or cause serious harm,Number,11
Recorded Crime Offences Under Reservation,2009Q4,40 Southern Region,Harassment and related offences,Number,120
Recorded Crime Offences Under Reservation,2009Q4,40 Southern Region,"Assault causing harm, poisoning",Number,192
Recorded Crime Offences Under Reservation,2009Q4,40 Southern Region,Other assault,Number,701
Recorded Crime Offences Under Reservation,2009Q4,40 Southern Region,Dangerous or negligent acts,Number,802
Recorded Crime Offences Under Reservation,2009Q4,40 Southern Region,Dangerous driving causing serious bodily harm,Number,0
Recorded Crime Offences Under Reservation,2009Q4,40 Southern Region,Driving/in charge of a vehicle while over legal alcohol limit,Number,730
Recorded Crime Offences Under Reservation,2009Q4,40 Southern Region,Driving/in charge of a vehicle under the influence of drugs,Number,43
Recorded Crime Offences Under Reservation,2009Q4,40 Southern Region,Endangerment with potential for serious harm/death,Number,2
Recorded Crime Offences Under Reservation,2009Q4,40 Southern Region,"Abandoning a child, child neglect and cruelty",Number,16
Recorded Crime Offences Under Reservation,2009Q4,40 Southern Region,Unseaworthy/dangerous use of boat or ship,Number,0
Recorded Crime Offences Under Reservation,2009Q4,40 Southern Region,False alarm/interference with aircraft or air transport facilities,Number,0
Recorded Crime Offences Under Reservation,2009Q4,40 Southern Region,Endangering traffic offences,Number,11
Recorded Crime Offences Under Reservation,2009Q4,40 Southern Region,Kidnapping and related offences,Number,4
Recorded Crime Offences Under Reservation,2009Q4,40 Southern Region,False imprisonment,Number,3
Recorded Crime Offences Under Reservation,2009Q4,40 Southern Region,Abduction of person under 16 years of age,Number,1
Recorded Crime Offences Under Reservation,2009Q4,40 Southern Region,Human trafficking offences,Number,0
Recorded Crime Offences Under Reservation,2009Q4,40 Southern Region,"Robbery, extortion and hijacking offences",Number,75
