Statistic,Year,Age of Mother at Maternity,Previous Liveborn Children,UNIT,VALUE
Births Outside Marriage/Civil Partnership,2018,42 years,Not stated,Number,
Births Outside Marriage/Civil Partnership,2018,43 years,Previous liveborn children,Number,130
Births Outside Marriage/Civil Partnership,2018,43 years,0,Number,45
Births Outside Marriage/Civil Partnership,2018,43 years,1,Number,55
Births Outside Marriage/Civil Partnership,2018,43 years,2,Number,10
Births Outside Marriage/Civil Partnership,2018,43 years,3,Number,7
Births Outside Marriage/Civil Partnership,2018,43 years,4,Number,6
Births Outside Marriage/Civil Partnership,2018,43 years,5,Number,4
Births Outside Marriage/Civil Partnership,2018,43 years,6,Number,3
Births Outside Marriage/Civil Partnership,2018,43 years,7,Number,0
Births Outside Marriage/Civil Partnership,2018,43 years,8,Number,0
Births Outside Marriage/Civil Partnership,2018,43 years,9,Number,0
Births Outside Marriage/Civil Partnership,2018,43 years,10 or more,Number,0
Births Outside Marriage/Civil Partnership,2018,43 years,Not stated,Number,
Births Outside Marriage/Civil Partnership,2018,44 years,Previous liveborn children,Number,74
Births Outside Marriage/Civil Partnership,2018,44 years,0,Number,36
Births Outside Marriage/Civil Partnership,2018,44 years,1,Number,20
Births Outside Marriage/Civil Partnership,2018,44 years,2,Number,9
Births Outside Marriage/Civil Partnership,2018,44 years,3,Number,6
Births Outside Marriage/Civil Partnership,2018,44 years,4,Number,1
Births Outside Marriage/Civil Partnership,2018,44 years,5,Number,1
Births Outside Marriage/Civil Partnership,2018,44 years,6,Number,1
Births Outside Marriage/Civil Partnership,2018,44 years,7,Number,0
Births Outside Marriage/Civil Partnership,2018,44 years,8,Number,0
Births Outside Marriage/Civil Partnership,2018,44 years,9,Number,0
Births Outside Marriage/Civil Partnership,2018,44 years,10 or more,Number,0
Births Outside Marriage/Civil Partnership,2018,44 years,Not stated,Number,
Births Outside Marriage/Civil Partnership,2018,15 years and under,Previous liveborn children,Number,19
Births Outside Marriage/Civil Partnership,2018,15 years and under,0,Number,19
Births Outside Marriage/Civil Partnership,2018,15 years and under,1,Number,0
Births Outside Marriage/Civil Partnership,2018,15 years and under,2,Number,0
Births Outside Marriage/Civil Partnership,2018,15 years and under,3,Number,0
Births Outside Marriage/Civil Partnership,2018,15 years and under,4,Number,0
Births Outside Marriage/Civil Partnership,2018,15 years and under,5,Number,0
Births Outside Marriage/Civil Partnership,2018,15 years and under,6,Number,0
Births Outside Marriage/Civil Partnership,2018,15 years and under,7,Number,0
Births Outside Marriage/Civil Partnership,2018,15 years and under,8,Number,0
Births Outside Marriage/Civil Partnership,2018,15 years and under,9,Number,0
Births Outside Marriage/Civil Partnership,2018,15 years and under,10 or more,Number,0
Births Outside Marriage/Civil Partnership,2018,15 years and under,Not stated,Number,
Births Outside Marriage/Civil Partnership,2018,Under 20 years,Previous liveborn children,Number,818
Births Outside Marriage/Civil Partnership,2018,Under 20 years,0,Number,730
Births Outside Marriage/Civil Partnership,2018,Under 20 years,1,Number,79
Births Outside Marriage/Civil Partnership,2018,Under 20 years,2,Number,7
Births Outside Marriage/Civil Partnership,2018,Under 20 years,3,Number,2
Births Outside Marriage/Civil Partnership,2018,Under 20 years,4,Number,0
Births Outside Marriage/Civil Partnership,2018,Under 20 years,5,Number,0
Births Outside Marriage/Civil Partnership,2018,Under 20 years,6,Number,0
Births Outside Marriage/Civil Partnership,2018,Under 20 years,7,Number,0
Births Outside Marriage/Civil Partnership,2018,Under 20 years,8,Number,0
Births Outside Marriage/Civil Partnership,2018,Under 20 years,9,Number,0
Births Outside Marriage/Civil Partnership,2018,Under 20 years,10 or more,Number,0
Births Outside Marriage/Civil Partnership,2018,Under 20 years,Not stated,Number,
Births Outside Marriage/Civil Partnership,2018,20 - 24 years,Previous liveborn children,Number,4091
Births Outside Marriage/Civil Partnership,2018,20 - 24 years,0,Number,2616
Births Outside Marriage/Civil Partnership,2018,20 - 24 years,1,Number,1126
Births Outside Marriage/Civil Partnership,2018,20 - 24 years,2,Number,266
Births Outside Marriage/Civil Partnership,2018,20 - 24 years,3,Number,70
Births Outside Marriage/Civil Partnership,2018,20 - 24 years,4,Number,11
Births Outside Marriage/Civil Partnership,2018,20 - 24 years,5,Number,2
Births Outside Marriage/Civil Partnership,2018,20 - 24 years,6,Number,0
Births Outside Marriage/Civil Partnership,2018,20 - 24 years,7,Number,0
Births Outside Marriage/Civil Partnership,2018,20 - 24 years,8,Number,0
Births Outside Marriage/Civil Partnership,2018,20 - 24 years,9,Number,0
Births Outside Marriage/Civil Partnership,2018,20 - 24 years,10 or more,Number,0
Births Outside Marriage/Civil Partnership,2018,20 - 24 years,Not stated,Number,
Births Outside Marriage/Civil Partnership,2018,25 - 29 years,Previous liveborn children,Number,6338
Births Outside Marriage/Civil Partnership,2018,25 - 29 years,0,Number,2992
Births Outside Marriage/Civil Partnership,2018,25 - 29 years,1,Number,2098
Births Outside Marriage/Civil Partnership,2018,25 - 29 years,2,Number,847
Births Outside Marriage/Civil Partnership,2018,25 - 29 years,3,Number,277
Births Outside Marriage/Civil Partnership,2018,25 - 29 years,4,Number,83
Births Outside Marriage/Civil Partnership,2018,25 - 29 years,5,Number,31
Births Outside Marriage/Civil Partnership,2018,25 - 29 years,6,Number,7
Births Outside Marriage/Civil Partnership,2018,25 - 29 years,7,Number,3
Births Outside Marriage/Civil Partnership,2018,25 - 29 years,8,Number,0
Births Outside Marriage/Civil Partnership,2018,25 - 29 years,9,Number,0
Births Outside Marriage/Civil Partnership,2018,25 - 29 years,10 or more,Number,0
Births Outside Marriage/Civil Partnership,2018,25 - 29 years,Not stated,Number,
Births Outside Marriage/Civil Partnership,2018,30 - 34 years,Previous liveborn children,Number,6322
Births Outside Marriage/Civil Partnership,2018,30 - 34 years,0,Number,2533
Births Outside Marriage/Civil Partnership,2018,30 - 34 years,1,Number,2168
Births Outside Marriage/Civil Partnership,2018,30 - 34 years,2,Number,1044
Births Outside Marriage/Civil Partnership,2018,30 - 34 years,3,Number,355
Births Outside Marriage/Civil Partnership,2018,30 - 34 years,4,Number,138
Births Outside Marriage/Civil Partnership,2018,30 - 34 years,5,Number,45
Births Outside Marriage/Civil Partnership,2018,30 - 34 years,6,Number,26
Births Outside Marriage/Civil Partnership,2018,30 - 34 years,7,Number,8
Births Outside Marriage/Civil Partnership,2018,30 - 34 years,8,Number,3
Births Outside Marriage/Civil Partnership,2018,30 - 34 years,9,Number,2
Births Outside Marriage/Civil Partnership,2018,30 - 34 years,10 or more,Number,0
Births Outside Marriage/Civil Partnership,2018,30 - 34 years,Not stated,Number,
Births Outside Marriage/Civil Partnership,2018,35 - 39 years,Previous liveborn children,Number,4263
Births Outside Marriage/Civil Partnership,2018,35 - 39 years,0,Number,1550
Births Outside Marriage/Civil Partnership,2018,35 - 39 years,1,Number,1450
Births Outside Marriage/Civil Partnership,2018,35 - 39 years,2,Number,726
Births Outside Marriage/Civil Partnership,2018,35 - 39 years,3,Number,308
Births Outside Marriage/Civil Partnership,2018,35 - 39 years,4,Number,120
Births Outside Marriage/Civil Partnership,2018,35 - 39 years,5,Number,62
Births Outside Marriage/Civil Partnership,2018,35 - 39 years,6,Number,27
Births Outside Marriage/Civil Partnership,2018,35 - 39 years,7,Number,10
Births Outside Marriage/Civil Partnership,2018,35 - 39 years,8,Number,7
Births Outside Marriage/Civil Partnership,2018,35 - 39 years,9,Number,1
Births Outside Marriage/Civil Partnership,2018,35 - 39 years,10 or more,Number,2
Births Outside Marriage/Civil Partnership,2018,35 - 39 years,Not stated,Number,
Births Outside Marriage/Civil Partnership,2018,40 - 44 years,Previous liveborn children,Number,1188
Births Outside Marriage/Civil Partnership,2018,40 - 44 years,0,Number,456
Births Outside Marriage/Civil Partnership,2018,40 - 44 years,1,Number,396
Births Outside Marriage/Civil Partnership,2018,40 - 44 years,2,Number,181
Births Outside Marriage/Civil Partnership,2018,40 - 44 years,3,Number,75
Births Outside Marriage/Civil Partnership,2018,40 - 44 years,4,Number,35
Births Outside Marriage/Civil Partnership,2018,40 - 44 years,5,Number,24
Births Outside Marriage/Civil Partnership,2018,40 - 44 years,6,Number,14
Births Outside Marriage/Civil Partnership,2018,40 - 44 years,7,Number,3
Births Outside Marriage/Civil Partnership,2018,40 - 44 years,8,Number,3
Births Outside Marriage/Civil Partnership,2018,40 - 44 years,9,Number,1
Births Outside Marriage/Civil Partnership,2018,40 - 44 years,10 or more,Number,0
Births Outside Marriage/Civil Partnership,2018,40 - 44 years,Not stated,Number,
Births Outside Marriage/Civil Partnership,2018,45 years and over,Previous liveborn children,Number,82
Births Outside Marriage/Civil Partnership,2018,45 years and over,0,Number,38
Births Outside Marriage/Civil Partnership,2018,45 years and over,1,Number,20
Births Outside Marriage/Civil Partnership,2018,45 years and over,2,Number,10
Births Outside Marriage/Civil Partnership,2018,45 years and over,3,Number,5
Births Outside Marriage/Civil Partnership,2018,45 years and over,4,Number,2
Births Outside Marriage/Civil Partnership,2018,45 years and over,5,Number,2
Births Outside Marriage/Civil Partnership,2018,45 years and over,6,Number,3
Births Outside Marriage/Civil Partnership,2018,45 years and over,7,Number,1
Births Outside Marriage/Civil Partnership,2018,45 years and over,8,Number,1
Births Outside Marriage/Civil Partnership,2018,45 years and over,9,Number,0
Births Outside Marriage/Civil Partnership,2018,45 years and over,10 or more,Number,0
Births Outside Marriage/Civil Partnership,2018,45 years and over,Not stated,Number,
Births Outside Marriage/Civil Partnership,2018,Age not stated,Previous liveborn children,Number,
Births Outside Marriage/Civil Partnership,2018,Age not stated,0,Number,
Births Outside Marriage/Civil Partnership,2018,Age not stated,1,Number,
Births Outside Marriage/Civil Partnership,2018,Age not stated,2,Number,
Births Outside Marriage/Civil Partnership,2018,Age not stated,3,Number,
Births Outside Marriage/Civil Partnership,2018,Age not stated,4,Number,
Births Outside Marriage/Civil Partnership,2018,Age not stated,5,Number,
Births Outside Marriage/Civil Partnership,2018,Age not stated,6,Number,
Births Outside Marriage/Civil Partnership,2018,Age not stated,7,Number,
Births Outside Marriage/Civil Partnership,2018,Age not stated,8,Number,
Births Outside Marriage/Civil Partnership,2018,Age not stated,9,Number,
Births Outside Marriage/Civil Partnership,2018,Age not stated,10 or more,Number,
Births Outside Marriage/Civil Partnership,2018,Age not stated,Not stated,Number,
Births Outside Marriage/Civil Partnership,2018,All ages,Previous liveborn children,Number,23102
Births Outside Marriage/Civil Partnership,2018,All ages,0,Number,10915
Births Outside Marriage/Civil Partnership,2018,All ages,1,Number,7337
Births Outside Marriage/Civil Partnership,2018,All ages,2,Number,3081
Births Outside Marriage/Civil Partnership,2018,All ages,3,Number,1092
Births Outside Marriage/Civil Partnership,2018,All ages,4,Number,389
Births Outside Marriage/Civil Partnership,2018,All ages,5,Number,166
Births Outside Marriage/Civil Partnership,2018,All ages,6,Number,77
Births Outside Marriage/Civil Partnership,2018,All ages,7,Number,25
Births Outside Marriage/Civil Partnership,2018,All ages,8,Number,14
Births Outside Marriage/Civil Partnership,2018,All ages,9,Number,4
Births Outside Marriage/Civil Partnership,2018,All ages,10 or more,Number,2
Births Outside Marriage/Civil Partnership,2018,All ages,Not stated,Number,
Births Outside Marriage/Civil Partnership,2019,16 years,Previous liveborn children,Number,47
Births Outside Marriage/Civil Partnership,2019,16 years,0,Number,47
Births Outside Marriage/Civil Partnership,2019,16 years,1,Number,
Births Outside Marriage/Civil Partnership,2019,16 years,2,Number,
Births Outside Marriage/Civil Partnership,2019,16 years,3,Number,
Births Outside Marriage/Civil Partnership,2019,16 years,4,Number,
Births Outside Marriage/Civil Partnership,2019,16 years,5,Number,
Births Outside Marriage/Civil Partnership,2019,16 years,6,Number,
Births Outside Marriage/Civil Partnership,2019,16 years,7,Number,
Births Outside Marriage/Civil Partnership,2019,16 years,8,Number,
Births Outside Marriage/Civil Partnership,2019,16 years,9,Number,
Births Outside Marriage/Civil Partnership,2019,16 years,10 or more,Number,
Births Outside Marriage/Civil Partnership,2019,16 years,Not stated,Number,
Births Outside Marriage/Civil Partnership,2019,17 years,Previous liveborn children,Number,80
Births Outside Marriage/Civil Partnership,2019,17 years,0,Number,75
Births Outside Marriage/Civil Partnership,2019,17 years,1,Number,5
Births Outside Marriage/Civil Partnership,2019,17 years,2,Number,
Births Outside Marriage/Civil Partnership,2019,17 years,3,Number,
Births Outside Marriage/Civil Partnership,2019,17 years,4,Number,
Births Outside Marriage/Civil Partnership,2019,17 years,5,Number,
Births Outside Marriage/Civil Partnership,2019,17 years,6,Number,
Births Outside Marriage/Civil Partnership,2019,17 years,7,Number,
Births Outside Marriage/Civil Partnership,2019,17 years,8,Number,
Births Outside Marriage/Civil Partnership,2019,17 years,9,Number,
Births Outside Marriage/Civil Partnership,2019,17 years,10 or more,Number,
Births Outside Marriage/Civil Partnership,2019,17 years,Not stated,Number,
Births Outside Marriage/Civil Partnership,2019,18 years,Previous liveborn children,Number,216
Births Outside Marriage/Civil Partnership,2019,18 years,0,Number,190
Births Outside Marriage/Civil Partnership,2019,18 years,1,Number,24
Births Outside Marriage/Civil Partnership,2019,18 years,2,Number,2
Births Outside Marriage/Civil Partnership,2019,18 years,3,Number,
Births Outside Marriage/Civil Partnership,2019,18 years,4,Number,
Births Outside Marriage/Civil Partnership,2019,18 years,5,Number,
Births Outside Marriage/Civil Partnership,2019,18 years,6,Number,
Births Outside Marriage/Civil Partnership,2019,18 years,7,Number,
Births Outside Marriage/Civil Partnership,2019,18 years,8,Number,
Births Outside Marriage/Civil Partnership,2019,18 years,9,Number,
Births Outside Marriage/Civil Partnership,2019,18 years,10 or more,Number,
Births Outside Marriage/Civil Partnership,2019,18 years,Not stated,Number,
Births Outside Marriage/Civil Partnership,2019,19 years,Previous liveborn children,Number,362
Births Outside Marriage/Civil Partnership,2019,19 years,0,Number,310
Births Outside Marriage/Civil Partnership,2019,19 years,1,Number,44
Births Outside Marriage/Civil Partnership,2019,19 years,2,Number,8
Births Outside Marriage/Civil Partnership,2019,19 years,3,Number,
Births Outside Marriage/Civil Partnership,2019,19 years,4,Number,
